Libellé;Libéllé court;Type d'entité;Domaine mail;Organizational_unit;departement_code;region_code;ctcd_code
ARS - Normandie;ARS NORM;ARS;;ARS-NORMANDIE;;28;
CD - Calvados;CD CAL;CD;@calvados.fr;;14;;14D
CD - Eure;CD EURE;CD;@eure.fr;;27;;27D
DDETS - Calvados;DDETS CAL;DDETS;@calvados.gouv.fr;;14;;14D
DDETS Eure;DDETS EURE;DDETS;@eure.gouv.fr;;27;;27D
DDETS Manche;DDETS 50;DDETS;@manche.gouv.fr;;50;;50D
DDETS - Seine-Maritime;DDETS SEINE-M;DDETS;@seine-maritime.gouv.fr;;76;;76D
ARS - Nouvelle-Aquitaine;ARS NA;ARS;;ARS-NA,ARS NA;;75;
ARS - Corse;ARS CORSE;ARS;;ARS-CORSE;;94;
ARS - Hauts-de-France;ARS HDF;ARS;;ARS-HDF;;32;
ARS - Auvergne-Rhône-Alpes;ARS ARA;ARS;;ARS-ARA;;84;
CD - Haute-Garonne;CD HG;CD;@cd31.fr;;31;;31D
CD - Manche;CD 50;CD;@manche.fr;;50;;50D
DDETSPP Orne;DDETSPP 61;DDETS;@orne.gouv.fr;;61;;61D
